post_id,user_id,user_name_x,caption,image_url,timestamp,interaction,hashtags,location_x,post_type,user_name_y,follower_count,following_count,location_y,age_group,gender,activity_level
7986,7007,peggyrodriguez,It makes me sad,https://dummyimage.com/869x566,2024-04-16 20:05:14,1,#depression #stress #trauma,West Alan,video,peggyrodriguez,1061,2942,West Alan,25-34,female,high
4689,9537,younghenry,Throwback to summer,https://dummyimage.com/668x857,2024-08-13 07:08:31,1,#summer #memories #throwback,South Angela,image,younghenry,4127,4184,South Angela,25-34,female,high
2618,1783,crawfordrobert,Healthy living,https://picsum.photos/906/852,2024-01-15 12:59:22,0,#healthyliving #fitness #wellness,East James,image,crawfordrobert,2146,4347,East James,45-54,male,high
1726,8661,adamsjavier,Healthy living,https://dummyimage.com/51x700,2024-02-27 01:09:01,0,#healthyliving #fitness #wellness,Callahanshire,image,adamsjavier,1286,1397,Callahanshire,18-24,female,low
6017,7395,catherine83,Healthy breakfast,https://picsum.photos/418/35,2024-05-05 10:14:24,1,#breakfast #healthy #food,Gilbertside,video,catherine83,8427,3430,Gilbertside,45-54,male,low
7869,1509,tararodriguez,Love this beach,https://placekitten.com/390/651,2024-04-13 05:14:40,1,#beach #ocean #sun,Gregoryborough,image,tararodriguez,4573,4450,Gregoryborough,25-34,male,medium
7044,1509,tararodriguez,Healthy living,https://dummyimage.com/487x867,2024-10-04 07:45:04,1,#healthyliving #fitness #wellness,Gregoryborough,video,tararodriguez,4573,4450,Gregoryborough,25-34,male,medium
6123,8771,chodges,Coffee time,https://placekitten.com/920/341,2024-05-18 18:30:19,1,#coffee #morning #caffeine,East Amy,video,chodges,1473,2319,East Amy,35-44,female,medium
1676,1783,crawfordrobert,A sad day for us all,https://dummyimage.com/485x670,2024-01-08 08:28:13,0,#sad #day #all,East James,video,crawfordrobert,2146,4347,East James,45-54,male,high
9716,6275,jennifer29,Healthy breakfast,https://dummyimage.com/222x248,2024-09-26 18:08:54,1,#breakfast #healthy #food,Brooksborough,image,jennifer29,6838,4609,Brooksborough,25-34,female,high
5481,6971,gcabrera,Family time,https://picsum.photos/67/684,2024-05-09 00:03:17,1,#family #love #qualitytime,Sanchezton,video,gcabrera,2640,4904,Sanchezton,45-54,male,medium
4598,2052,steven23,City lights,https://dummyimage.com/338x778,2024-08-02 06:33:38,1,#city #nightlife #urban,West Tyroneshire,image,steven23,8960,2578,West Tyroneshire,18-24,male,medium
6483,9158,denise68,Dinner with friends,https://placekitten.com/230/730,2024-09-24 14:02:30,0,#dinner #friends #goodtimes,East Travis,video,denise68,4842,1523,East Travis,35-44,female,high
9481,3196,timothy89,A sad day for us all,https://placekitten.com/1004/167,2024-08-27 20:51:35,0,#sad #day #all,New Tiffanyfurt,video,timothy89,3543,3569,New Tiffanyfurt,45-54,male,medium
6399,2583,kristina17,"They looked at her with sad, anxious faces",https://placekitten.com/380/933,2024-07-10 19:19:06,1,#anxious #sad #faces,East Melissaside,video,kristina17,6028,1110,East Melissaside,25-34,female,high
16,1977,tsimmons,Road trip,https://picsum.photos/770/1017,2024-03-14 20:15:00,0,#roadtrip #adventure #travel,Port Louisshire,video,tsimmons,8388,1649,Port Louisshire,18-24,male,high
9563,2519,sbarker,Feeling blessed,https://picsum.photos/541/402,2024-04-01 19:37:17,1,#blessed #grateful #thankful,Hollandberg,image,sbarker,5533,563,Hollandberg,35-44,female,medium
3816,6744,caustin,Exploring the mountains,https://placekitten.com/692/956,2024-09-03 00:00:22,0,#mountains #hiking #nature,East Jessica,video,caustin,6111,3411,East Jessica,18-24,male,high
5115,7410,danestrada,Travel goals,https://placekitten.com/133/815,2024-03-08 10:28:30,1,#travel #adventure #explore,South Maryland,video,danestrada,2085,2206,South Maryland,18-24,female,low
4533,5438,christopher54,Exploring the mountains,https://picsum.photos/381/902,2024-07-02 08:43:36,0,#mountains #hiking #nature,East Tiffany,image,christopher54,7625,4182,East Tiffany,25-34,male,medium
8528,4636,zlewis,Enjoying the sunset,https://placekitten.com/593/751,2024-09-22 18:50:45,1,#sunset #evening #nature,Lake Nancyfort,image,zlewis,9296,4040,Lake Nancyfort,18-24,male,low
9943,6241,rsmith,Sunset views,https://placekitten.com/629/407,2024-02-01 00:20:08,0,#sunset #views #sky,Timothyton,video,rsmith,8882,4041,Timothyton,18-24,female,medium
5142,483,summersryan,I am feeling very sad,https://placekitten.com/546/98,2024-02-15 05:15:02,0,#sad #low #feel,Alicialand,video,summersryan,7046,1796,Alicialand,35-44,female,low
9559,6846,martinanna,Beach day,https://placekitten.com/262/709,2024-07-04 06:52:27,1,#beach #sun #sand,Cobbview,image,martinanna,3767,2543,Cobbview,35-44,male,low
8728,5800,tracylarson,I am feeling very sad,https://dummyimage.com/215x1016,2024-08-24 08:52:47,1,#sad #low #feel,Thomasport,video,tracylarson,3360,661,Thomasport,25-34,female,low
2489,2922,robertspeter,Road trip,https://dummyimage.com/905x685,2024-08-03 08:31:09,1,#roadtrip #adventure #travel,West Lori,video,robertspeter,6453,2853,West Lori,35-44,male,low
9740,9524,millerwilliam,Workout motivation,https://dummyimage.com/903x782,2024-02-26 02:13:20,1,#workout #fitness #motivation,South Kellyside,image,millerwilliam,555,4510,South Kellyside,45-54,male,high
3494,9460,rebecca35,Beach day,https://placekitten.com/473/771,2024-09-03 13:57:09,1,#beach #sun #sand,West Veronica,video,rebecca35,7193,2842,West Veronica,18-24,male,high
8539,2280,sierrakelly,Family time,https://placekitten.com/287/845,2024-05-02 23:57:48,0,#family #love #qualitytime,New Abigailville,image,sierrakelly,9544,4714,New Abigailville,35-44,male,high
1329,9020,kevinboyer,Road trip,https://dummyimage.com/916x115,2024-07-09 16:45:40,1,#roadtrip #adventure #travel,New Jacobbury,video,kevinboyer,8393,2313,New Jacobbury,25-34,male,high
1168,9158,denise68,Hiking adventures,https://picsum.photos/768/885,2024-08-23 22:59:16,1,#hiking #outdoors #adventure,East Travis,video,denise68,4842,1523,East Travis,35-44,female,high
9095,5618,heather99,Morning vibes,https://picsum.photos/137/967,2024-09-27 02:39:54,1,#morning #freshstart #sunrise,Lake Joshuatown,image,heather99,4128,4772,Lake Joshuatown,35-44,female,medium
9533,2669,wsmith,"They looked at her with sad, anxious faces",https://picsum.photos/158/349,2024-01-04 18:10:33,1,#anxious #sad #faces,Johnsonfort,video,wsmith,4007,4214,Johnsonfort,35-44,female,high
